 from   to   via     T_slow    T_thermal     mfp_s       mfp_t    
   481  2673     9   1.689E-01   8.769E-01   1.837E-03   4.840E-02
  2673  1227     9   8.877E-02   4.593E-01   1.837E-03   4.733E-02
  2673   481     9   8.460E-02   4.379E-01   1.837E-03   4.733E-02
  2673  2673     9   0.000E+00   0.000E+00   1.837E-03   4.733E-02
  3948  3948    10   0.000E+00   0.000E+00   8.478E-02   8.992E-01
  3948  2845    10   4.101E-01   4.525E-01   8.478E-02   8.992E-01
  3948  2847    10   4.914E-01   5.382E-01   8.478E-02   8.992E-01
  2845  3948    10   1.310E-01   1.446E-01   8.478E-02   9.279E-01
  2845  2845    10   0.000E+00   0.000E+00   8.478E-02   9.279E-01
  2845  2847    10   8.013E-01   8.492E-01   8.478E-02   9.279E-01
  2847  3948    10   1.528E-01   1.665E-01   8.478E-02   5.774E-01
  2847  2845    10   7.799E-01   8.237E-01   8.478E-02   5.774E-01
  2847  2847    10   0.000E+00   0.000E+00   8.478E-02   5.774E-01
  1135  1135    11   0.000E+00   0.000E+00   1.910E-03   5.223E-02
  1135  3887    11   4.285E-03   5.840E-02   1.910E-03   5.223E-02
  1135  2948    11   1.508E-01   8.239E-01   1.910E-03   5.223E-02
  3887  1135    11   2.566E-03   3.503E-02   1.910E-03   5.253E-02
  3887  3887    11   0.000E+00   0.000E+00   1.910E-03   5.253E-02
  3887  2948    11   1.607E-01   8.614E-01   1.910E-03   5.253E-02
  2948  1135    11   6.017E-02   3.285E-01   1.910E-03   5.220E-02
  2948  3887    11   1.070E-01   5.733E-01   1.910E-03   5.220E-02
  2948  2948    11   0.000E+00   0.000E+00   1.910E-03   5.220E-02
  2948  2948    12   0.000E+00   0.000E+00   1.884E-03   5.149E-02
  2948  1166    12   8.816E-02   4.885E-01   1.884E-03   5.149E-02
  2948   435    12   7.331E-02   4.080E-01   1.884E-03   5.149E-02
  1166  2948    12   1.569E-01   8.684E-01   1.884E-03   5.054E-02
  1166  1166    12   0.000E+00   0.000E+00   1.884E-03   5.054E-02
  1166   435    12   1.088E-03   1.874E-02   1.884E-03   5.054E-02
   435  2948    12   1.552E-01   8.612E-01   1.884E-03   5.045E-02
   435  1166    12   1.293E-03   2.225E-02   1.884E-03   5.045E-02
   435   435    12   0.000E+00   0.000E+00   1.884E-03   5.045E-02
  2644  2644    13   0.000E+00   0.000E+00   1.107E+02   3.164E+02
  2644  2750    13   5.652E-01   5.653E-01   1.107E+02   3.164E+02
  2644    47    13   4.347E-01   4.347E-01   1.107E+02   3.164E+02
  2750  2644    13   1.028E-01   1.029E-01   1.107E+02   5.412E+02
  2750  2750    13   0.000E+00   0.000E+00   1.107E+02   5.412E+02
  2750    47    13   8.971E-01   8.971E-01   1.107E+02   5.412E+02
    47  2644    13   8.101E-02   8.102E-02   1.107E+02   3.802E+02
    47  2750    13   9.189E-01   9.190E-01   1.107E+02   3.802E+02
    47    47    13   0.000E+00   0.000E+00   1.107E+02   3.802E+02
  3949  3949    14   0.000E+00   0.000E+00   1.290E-02   1.514E-01
  3949     8    14   2.721E-01   4.734E-01   1.290E-02   1.514E-01
  3949  2645    14   2.739E-01   4.759E-01   1.290E-02   1.514E-01
     8  3949    14   7.484E-02   1.303E-01   1.290E-02   1.536E-01
     8     8    14   0.000E+00   0.000E+00   1.290E-02   1.536E-01
     8  2645    14   5.762E-01   8.369E-01   1.290E-02   1.536E-01
  2645  3949    14   7.527E-02   7.527E-02   1.290E-02   1.290E-02
  2645     8    14   5.758E-01   5.758E-01   1.290E-02   1.290E-02
  2645  2645    14   0.000E+00   0.000E+00   1.290E-02   1.290E-02
  3325  3325    15   0.000E+00   0.000E+00   1.882E-03   5.142E-02
  3325   871    15   1.010E-01   5.964E-01   1.882E-03   5.142E-02
  3325  1296    15   4.876E-02   2.927E-01   1.882E-03   5.142E-02
   871  3325    15   1.462E-01   8.617E-01   1.882E-03   5.042E-02
   871   871    15   0.000E+00   0.000E+00   1.882E-03   5.042E-02
   871  1296    15   1.275E-03   2.041E-02   1.882E-03   5.042E-02
  1296  3325    15   1.379E-01   8.255E-01   1.882E-03   5.037E-02
  1296   871    15   2.490E-03   3.984E-02   1.882E-03   5.037E-02
  1296  1296    15   0.000E+00   0.000E+00   1.882E-03   5.037E-02
  2673  2673    16   0.000E+00   0.000E+00   1.807E-03   4.649E-02
  2673  2672    16   1.044E-01   6.905E-01   1.807E-03   4.649E-02
  2673  2576    16   2.365E-02   1.781E-01   1.807E-03   4.649E-02
  2672  2673    16   1.183E-01   7.794E-01   1.807E-03   4.528E-02
  2672  2672    16   0.000E+00   0.000E+00   1.807E-03   4.528E-02
  2672  2576    16   8.113E-03   8.290E-02   1.807E-03   4.528E-02
  2576  2673    16   7.630E-02   5.753E-01   1.807E-03   4.610E-02
  2576  2672    16   2.315E-02   2.378E-01   1.807E-03   4.610E-02
  2576  2576    16   0.000E+00   0.000E+00   1.807E-03   4.610E-02
  2845  2845    17   0.000E+00   0.000E+00   1.397E-01   1.510E+00
  2845  2846    17   4.016E-01   4.278E-01   1.397E-01   1.510E+00
  2845  2848    17   5.357E-01   5.664E-01   1.397E-01   1.510E+00
  2846  2845    17   1.410E-01   1.502E-01   1.397E-01   1.590E+00
  2846  2846    17   0.000E+00   0.000E+00   1.397E-01   1.590E+00
  2846  2848    17   8.147E-01   8.459E-01   1.397E-01   1.590E+00
  2848  2845    17   1.793E-01   1.891E-01   1.397E-01   1.058E+00
  2848  2846    17   7.768E-01   8.051E-01   1.397E-01   1.058E+00
  2848  2848    17   0.000E+00   0.000E+00   1.397E-01   1.058E+00
  3328  3328    18   0.000E+00   0.000E+00   5.944E-01   5.730E+00
  3328  3331    18   2.459E-01   2.622E-01   5.944E-01   5.730E+00
  3328    33    18   6.982E-01   7.320E-01   5.944E-01   5.730E+00
  3331  3328    18   4.755E-01   5.081E-01   5.944E-01   7.761E+00
  3331  3331    18   0.000E+00   0.000E+00   5.944E-01   7.761E+00
  3331    33    18   4.549E-01   4.866E-01   5.944E-01   7.761E+00
    33  3328    18   7.061E-01   7.404E-01   5.944E-01   6.063E+00
    33  3331    18   2.379E-01   2.541E-01   5.944E-01   6.063E+00
    33    33    18   0.000E+00   0.000E+00   5.944E-01   6.063E+00
